EVENTS,,,,,,,Actual,FR,Actual,FR,Actual,FR,Actual,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USTIC_case,Decision,Foreign Firms,Domestic Firms,Ticker Symbols of Domestic Firms,Foreign Country,Product,date_ini,date_ini,date_ITCp,date_ITCp,date_ITAf,date_ITAf,date_ITCf,date_ITCf,date_TarJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731300,S,Fujitsu Ltd.,SELF INITIATED - DOC,,JAPAN,256k and above DRAMs,12/11/1985,12/18/85,1/27/86,2/6/86,,,7/30/86 | 8/1/91,TERM: 8/7/91,8/9/86 | 9/12/87 | 2/19/91,Japan Economic Journal | Japan Economic Journal | Jiji Press Ticker Service,Announcements 1 and 2 are that Fujitsu plans to build semiconductor plant in Oregon.  Announcement 3 is Fujitsu plans production of 4 MB DRAMs at Oregon plant.,Fujitsu Microelectronics Inc,San Diego,CA,1981,320,1990,JEI,NP,Fujitsu Microelectronics Inc,Gresham,OR,1988,475,1990,JEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731300,S,Hitachi Corp. Ltd.,SELF INITIATED - DOC,,JAPAN,256k and above DRAMs,12/11/1985,12/18/85,1/27/86,2/6/86,,,7/30/86 | 8/1/91,TERM: 8/7/91,6/12/1987,Jiji Press Ticker Service  ,Announcements that Hitachi will expand semiconductor production in U.S. in response to trade frictions.,Hitachi Semiconductor (America) Inc.,Irving,TX,1979,422,1979,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731300,S,Mitsubishi Electric Corp.,SELF INITIATED - DOC,,JAPAN,256k and above DRAMs,12/11/1985,12/18/85,1/27/86,2/6/86,,,7/30/86 | 8/1/91,TERM: 8/7/91,3/16/1988,Jiji Press Ticker Service,"Announcement of expansion or addition of product line in existing plant. (In this case, new  line in 1M DRAMs.",Mitsubishi Semiconductor America Inc.,Durham ,NC,1985,525,1990,JEI,NP,Powerex Inc.,Auburn/Youngwood/Gurabo,NY/PA/PR,1985/1985/1985,200/500/200,1990,JEI,JV (33%) with G.E. (US-33%) and Westinghouse (33%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731300,S,NEC Corp.,SELF INITIATED - DOC,,JAPAN,256k and above DRAMs,12/11/1985,12/18/85,1/27/86,2/6/86,,,7/30/86 | 8/1/91,TERM: 8/7/91,4/21/86 | 5/3/86 | 6/11/86 | 11/20/1986,Jiji Press Ticker Service  ,"Announcement that NEC plans to ""sharply increase semiconductor production … to forestall resurgence of Japan-U.S. friction over the chip trade imbalance.""",NEC Electronics Inc.,Roseville,CA,1984,700,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731300,S,Tokyo Shibaura Corp. (TOSHIBA),SELF INITIATED - DOC,,JAPAN,256k and above DRAMs,12/11/1985,12/18/85,1/27/86,2/6/86,,,7/30/86 | 8/1/91,TERM: 8/7/91,10/21/1985,Japan Economic Journal,"MIXED announcement: laying off workers, but says they plan to remodel and expand ability to produce DRAMs",Toshiba America Consumer Products Inc.,Sunnyvale,CA,1980,220,1990,JEI,ACQ(100%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731343,A,NSK Ltd. (formerly Nippon Seiko KK),TIMKEN CO.,NYSE (TKR),JAPAN,Tapered Roller Bearings,8/27/1986,9/4/86,10/9/86,10/16/86,10/10/87??,8/17/87,9/23/87,10/1/87,1/17/1987,Japan Economic Journal,Announcement of major expansion of capacity in U.S.,NSK Corp.,Ann Arbor/Clarinda,MI/IA,1973/1975,275/338,1990,JEI,ACQ (100%)/NP,NSK-AKS Precision Ball Company,Clarinda,IA,1987,,,Webpage: http://www.nsk-corp.com/COMPINFO/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731343,A,"NTN Toyo Bearing Co., Ltd. (aka NTN Corp",TIMKEN CO.,NYSE (TKR),JAPAN,Tapered Roller Bearings,8/27/1986,9/4/86,10/9/86,10/16/86,10/10/87??,8/17/87,9/23/87,10/1/87,10/14/1987,Japan Economic Newswire,Announcement that NTN will take over its JV with Federal Mogul - in part to avoid tariffs from AD case,NTN American Bearing ManufacturingCorp./NTN Elgin Inc.,Schiller Park/Elgin,IL/IL,1971/1975,65/135,1990,JEI,NP/NP,NTN-Bower Corp.,Hamilton/Mccomb,AL/IL,1985,1000,1990,JEI,ACQ(100%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731342,A,SKF Italy (Though SKF based in SWEDEN),TIMKEN CO.,NYSE (TKR),ITALY,Tapered Roller Bearings,8/27/1986,9/4/86,10/9/86,10/16/86,6/22/87??,8/17/87,8/16/87,10/1/87,3/17/1986,PR Newswire,Announcement of acquisition of bearings division of TRW Bearings - NOTE: Announcement before the case though,MRC Bearings Inc,Jamestown/Winsted,NY/CT,1986,,,,ACQ (100%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731354,A,Sandvik Steel Co.,"SPECIALTY TUBING GROUP - AL TECH SPECIALTY STEEL CORP., ALLEGHENY LUDLUM STEEL CORP, ARMCO-SPECIALTY STEEL DIV., CARPENTER TECHNOLOGYCORP., DAMASCUS TUBULAR PRODUCTS, TRENT TUBE DIV. OF CRUCIBLE MATERIALS CORP.","Can't find, can't find, can't find, NYSE (CRS), can't find, can't find",SWEDEN,Stainless Steel Pipe,10/24/1986,10/29/86,12/5/86,12/10/86,10/5/87,10/9/87,11/19/87,11/25/87,5/18/1992,Japan Economic Newswire,"Lexis-Nexis: Japan Economic Newswire 5/18/92 announcement that Sumitomo and Sandvik starting joint venture to produce seamless steel pipes: Pennsylvania Extruded Tube Co. near Sandvik's current subsidiary.  $45 million - 70% owned by Sandvik - 12,000 tons a year.",Sandvik Steel Co.,Clarks Summit,PA,1970,325,1999,Wards - see fdi_unkn2.xls,,Sandvik Steel Strip Products Division,Benton Harbor ,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731368,A,Hitachi Corp. Ltd.,UNIONS (but backed by ZENITH ELECTRONICS according to 10/3/90 article in Crain's Chicago Business journal and ZENITH filed anticircumvention petition in 1990),NYSE (ZE),JAPAN,Color Picture Tubes,11/26/1986,12/8/86,1/12/87,1/22/87,11/12/87??,11/18/87,7/21/87,7/29/87,12/11/1989,Jiji Press Ticker Service  ,Announcement that Hitachi plants a new picture tube plant in Georgia,Hitachi Electronic Devices America,Greenville,SC,1991,300,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731368,A,Matsushita Electronics Corp.,UNIONS (but backed by ZENITH ELECTRONICS according to 10/3/90 article in Crain's Chicago Business journal and ZENITH filed anticircumvention petition in 1990),NYSE (ZE),JAPAN,Color Picture Tubes,11/26/1986,12/8/86,1/12/87,1/22/87,11/12/87??,11/18/87,7/21/87,7/29/87,12/26/1987,Japan Economic Journal,Announcement that Matsushita plans a new picture tube plant in Ohio,American Matsushita Electronics Corp.,Troy,OH,1989,270,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731368,A,Tokyo Shibaura Corp. (TOSHIBA),UNIONS (but backed by ZENITH ELECTRONICS according to 10/3/90 article in Crain's Chicago Business journal and ZENITH filed anticircumvention petition in 1990),NYSE (ZE),JAPAN,Color Picture Tubes,11/26/1986,12/8/86,1/12/87,1/22/87,11/12/87??,11/18/87,7/21/87,7/29/87,12/12/1984,Jiji Press Ticker Service  ,Announcement of JV with Westinghouse for New York plant,Toshiba Display Devices Inc.,Horseheads,NY,1986,1300,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731370,A,"Hitachi Electronic Devices, Pte., Ltd.",UNIONS (but backed by ZENITH ELECTRONICS according to 10/3/90 article in Crain's Chicago Business journal and ZENITH filed anticircumvention petition in 1990),NYSE (ZE),SINGAPORE,Color Picture Tubes,11/26/1986,12/8/86,1/12/87,1/22/87,11/12/87??,11/18/87,7/21/87,7/29/87,12/11/1989,Jiji Press Ticker Service  ,Announcement that Hitachi plants a new picture tube plant in Georgia,Hitachi Electronic Devices America,Greenville,SC,1991,300,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731377,A,"Komatsu Forklift Co., Ltd.",HYSTER CO. (Taken private in 1984 and owned 70% by ESCO CORP until acquired by NACCO in 1989) AND UNIONS CONNECTED WITH CATERPILAR AND CLARK,"Can't find, NYSE(CAT), can't find",JAPAN,Forklifts,4/22/1987,4/30/87,6/19/87,6/24/87,4/7/88,4/15/88,6/2/88,6/8/88,6/13/1987,Japan Economic Journal,Announcement of new plant in California,Komatsu Forklift Manufacturing Corp,La Palma,CA,1987,90,1990,JEI,NP,Komatsu Forklift Manufacturing Corp,Buena Park,CA,1989,55,1990,JEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731377,A,Mitsubishi Heavy Industries,HYSTER CO. (Taken private in 1984 and owned 70% by ESCO CORP until acquired by NACCO in 1989) AND UNIONS CONNECTED WITH CATERPILAR AND CLARK,"Can't find, NYSE(CAT), can't find",JAPAN,Forklifts,4/22/1987,4/30/87,6/19/87,6/24/87,4/7/88,4/15/88,6/2/88,6/8/88,12/12/1987,Japan Economic Journal,Announcement of new plant in Texas with parts produced in Mexico ,MHI Forklift America Inc.,Houston,TX,1988,120,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731377,A,Mitsubishi Heavy Industries,HYSTER CO. (Taken private in 1984 and owned 70% by ESCO CORP until acquired by NACCO in 1989) AND UNIONS CONNECTED WITH CATERPILAR AND CLARK,"Can't find, NYSE(CAT), can't find",JAPAN,Forklifts,4/22/1987,4/30/87,6/19/87,6/24/87,4/7/88,4/15/88,6/2/88,6/8/88,12/28/1991,Nikkei Weekly,Announcement of new JV with Caterpillar,Mitsubishi Caterpillar Forklift America,Mentor | Houston,OH | TX,1993,500,1992,Lexis-Nexis: PR Newswire 6/16/92,JV(?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731377,A,Nissan Motor Co.,HYSTER CO. (Taken private in 1984 and owned 70% by ESCO CORP until acquired by NACCO in 1989) AND UNIONS CONNECTED WITH CATERPILAR AND CLARK,"Can't find, NYSE(CAT), can't find",JAPAN,Forklifts,4/22/1987,4/30/87,6/19/87,6/24/87,4/7/88,4/15/88,6/2/88,6/8/88,10/6/1989,Jiji Press Ticker Service  ,Announcement of acquisition of Barrett Industrial Trucks Inc,Barrett Industrial Trucks Inc.,Marengo ,IL,1988,300,1990,JEI,ACQ (70%) with Marubeni Corp. (Japan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731377,A,"Toyo Umpanki Co., Ltd.",HYSTER CO. (Taken private in 1984 and owned 70% by ESCO CORP until acquired by NACCO in 1989) AND UNIONS CONNECTED WITH CATERPILAR AND CLARK,"Can't find, NYSE(CAT), can't find",JAPAN,Forklifts,4/22/1987,4/30/87,6/19/87,6/24/87,4/7/88,4/15/88,6/2/88,6/8/88,10/6/1988,Jiji Press Ticker Service  ,Announcement of intention to build new plant in South Carolina,TCM Manufacturing USA Inc.,West Columbia,SC,1989,35,1990,JEI,JV (80%) with C. Itoh (Japan-10%) and Mitsui (Japan-10%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731377,A,Toyota Motor Corp.,HYSTER CO. (Taken private in 1984 and owned 70% by ESCO CORP until acquired by NACCO in 1989) AND UNIONS CONNECTED WITH CATERPILAR AND CLARK,"Can't find, NYSE(CAT), can't find",JAPAN,Forklifts,4/22/1987,4/30/87,6/19/87,6/24/87,4/7/88,4/15/88,6/2/88,6/8/88,10/14/1988,Jiji Press Ticker Service  ,Announcement of intention to build new plant in Indiana,Toyota Industrial Equipment Manufacturing Inc.,Columbus,IN,1990,205,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731384,A,"Nippon Zeon Co., Ltd.",UNIROYAL CHEMICAL CO.,,JAPAN,Nitrile Rubber,9/4/1987,9/10/87,10/6/87,10/28/87,4/25/88,4/29/88,6/10/88,6/27/88,6/10/1989,Japan Economic Newswire,Lexis-Nexis: Japan Economic Newswire 6/10/89 announcement that Nippon Zeonbought B.F. Goodrich's specialty rubber plant precisely because of antidumping case - no imports from Japan since case was finalized!,Zeon Chemicals USA Inc.,Louisville/Hattiesburg,KY/MS,1989,300,1990,JEI,ACQ(100%),Zeon Chemicals Texas Inc.,Pasadena,TX,1990,42,1990,JEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731388,N,"Yamaha Motor Co., Ltd.",POLARIS INDUSTRIES (MPLS),NYSE (PII),JAPAN,All-terrain Vehicles,2/12/1988,2/18/88,4/1/88,4/6/88,????,1/31/89,3/14/89,3/22/89,9/10/1986,Business Wire,"Before the case - golf carts and plans for other products as well, but doesn't specifically mention ATVs",Yamaha Motor Manufacturing Corp. of America,Newnan,GA,1988,445,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731389,A,Fuji Photo Film Co.,VERBATIM (SUBSIDIARY OF EASTMAN KODAK SINCE 1985),,JAPAN,3.5 Inch Floppy Disks,2/26/1988,3/9/88,4/11/88,4/20/88,2/6/89,2/10/89,3/23/89,3/29/89,3/8/1989,Universal News Service,Announcement of new JV with BASF to produce 3.5 inch micro floppy disks,B&F Microdisks,Bedford,MA,1989,230,1990,JEI,JV (50% with BASF - German firm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731389,A,"Hitachi Maxell, Ltd.",VERBATIM (SUBSIDIARY OF EASTMAN KODAK SINCE 1985),,JAPAN,3.5 Inch Floppy Disks,2/26/1988,3/9/88,4/11/88,4/20/88,2/6/89,2/10/89,3/23/89,3/29/89,9/14/1988,Business Wire,Announcement that Maxell has inaugurated production of 3.5. Inch floppy disks,Maxell Corp. of America,San Diego,CA,1988,202,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731389,A,Sony Corp.,VERBATIM (SUBSIDIARY OF EASTMAN KODAK SINCE 1985),,JAPAN,3.5 Inch Floppy Disks,2/26/1988,3/9/88,4/11/88,4/20/88,2/6/89,2/10/89,3/23/89,3/29/89,4/5/1988,San Diego Union-Tribune,Announcement of production of 3.5. Inch floppy disks. NOTE that it is right after case was filed.,Sony Magnetic Products Inc. of America,Dothan,AL,1977,1300 (but not all in floppy disk production),1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731391,A,FAG Bearings,"TORRINGTON, SUBSID. OF INGERSOLL RAND",NYSE (IR),GERMANY,Antifriction Ball Bearings,3/31/1988,4/11/88,5/16/88,5/25/88,3/24/89,5/3/89,5/12/89,5/18/89,9/17/1990,PR Newswire,Announcement of acquisition of Barden Corporation located in Connecticutt,Barden Corporation,"Danbury, Bridgeport, Winsted",CT,1990,1700,1990,Lexis-Nexis: PR Newswire that announced acquistion,ACQ(100%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731391,A,INA Bearings,"TORRINGTON, SUBSID. OF INGERSOLL RAND",NYSE (IR),GERMANY,Antifriction Ball Bearings,3/31/1988,4/11/88,5/16/88,5/25/88,3/24/89,5/3/89,5/12/89,5/18/89,2/1/1988,"Columbia, SC, ""The State"" newspaper",Announcement of new plant in Spartanburg under name of Andrews Bearings in thrust ball and roller bearings,INA Bearing Company Inc./Andrews Bearing Co.,Cheraw/Chesterfield/Fort Mill/Spartanburg,SC,1969 for the first one,300,1995,SCInd/96-97,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731394,A,"Koyo Seiko Co., Ltd.","TORRINGTON, SUBSID. OF INGERSOLL RAND",NYSE (IR),JAPAN,Antifriction Ball Bearings,3/31/1988,4/11/88,5/16/88,5/25/88,3/24/89,5/3/89,5/12/89,5/18/89,3/11/1989,Japan Economic Journal,"Announcement that Koyo will expand production in its factory in Orangeburg SC from 300 to 400 employees in response to ""trade frictions""",American Koyo Bearing Manufacturing Corp. ,Orangeburg,SC,1975,400,1990,Lexis-Nexis: Announcement of expansion from 300 to 400 in 1989,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
