EVENTS,,,,,,,Actual,FR,Actual,FR,Actual,FR,Actual,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USTIC_case,Decision,Foreign Firms,Domestic Firms,Ticker Symbols of Domestic Firms,Foreign Country,Product,date_ini,date_ini,date_ITCp,date_ITCp,date_ITAf,date_ITAf,date_ITCf,date_ITCf,date_TarJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731207,A,Fujitsu Ltd.,MOTOROLA INC.,NYSE (MOT),JAPAN,Cellular Mobile Telephones,11/5/1984,11/15/84,12/20/84,12/27/84,10/24/85,10/31/85,12/9/85,12/17/85,10/2/1984,Japan Economic Journal,Announcement of production of cellular mobile phones in response to trade frictions,Fujitsu America Inc.,Richardson,TX,1984,345,1990,JEI,NP,Fujitsu Microelectronics Inc,Gresham,OR,1988,475,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731207,A,"Matsushita Communication Industrial Co.,",MOTOROLA INC.,NYSE (MOT),JAPAN,Cellular Mobile Telephones,11/5/1984,11/15/84,12/20/84,12/27/84,10/24/85,10/31/85,12/9/85,12/17/85,2/15/86 | 1/7/83,Japan Economic Journal,"Article says that Matsushita had placed production in Franklin Park in 1983 in response to alleged dumping.  This new plant in Georgia would have a capacity of 15,000 units.",Matsushita Communication Industrial Corp. of America,Peachtree,GA,1987,800,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731207,A,Mitsubishi Electric Corp.,MOTOROLA INC.,NYSE (MOT),JAPAN,Cellular Mobile Telephones,11/5/1984,11/15/84,12/20/84,12/27/84,10/24/85,10/31/85,12/9/85,12/17/85,9/3/1983,New York Times,Announcement of intention to have JV with Plessy,Astronet Corp. Inc.,Lake Mary ,FL,1984,50,1990,JEI,JV (25%) with Plessy PLC (UK),Mitsubishi Consumer Electronics America Inc.,Braselton,GA,1986,700,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731207,A,Nippon Electric Co. Ltd.,MOTOROLA INC.,NYSE (MOT),JAPAN,Cellular Mobile Telephones,11/5/1984,11/15/84,12/20/84,12/27/84,10/24/85,10/31/85,12/9/85,12/17/85,5/21/1984,Business Wire,NEC to build communications equipment plant in Oregon,NEC America Inc.,Hillsboro,OR,1985,500,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731207,A,"Oki Electric Industry Co., Ltd.",MOTOROLA INC.,NYSE (MOT),JAPAN,Cellular Mobile Telephones,11/5/1984,11/15/84,12/20/84,12/27/84,10/24/85,10/31/85,12/9/85,12/17/85,5/9/1984,Jiji Press Ticker Service  ,Announcement of Oki producing cellular phones in response to trade frictions,Oki America Inc. - Oki Telecom Group,Suwanee,GA,1984,600,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731270,A,Hitachi Corp. Ltd.,MICRON TECHNOLOGY,NYSE (MU),JAPAN,64k DRAMs,6/24/1985,7/3/85,8/8/85,8/14/85,4/23/86,4/29/86,6/6/83,6/11/1986,8/4/1981,Japan Economic Journal,Announcement of producing 64k in Texas in response to growing trade frictions - but well before case,Hitachi Semiconductor (America) Inc.,Irving,TX,1979,422,1979,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731270,A,Mitsubishi Electric Corp.,MICRON TECHNOLOGY,NYSE (MU),JAPAN,64k DRAMs,6/24/1985,7/3/85,8/8/85,8/14/85,4/23/86,4/29/86,6/6/83,6/11/1986,1/25/1984,Jiji Press Ticker Service  ,Announcement of Mitsubishi plant producing 64k chips in North Carolina,Mitsubishi Semiconductor America Inc.,Durham ,NC,1985,525,1990,JEI,NP,Powerex Inc.,Auburn/Youngwood/Gurabo,NY/PA/PR,1985/1985/1985,200/500/200,1990,JEI,JV (33%) with G.E. (US-33%) and Westinghouse (33%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731270,A,NEC Corp.,MICRON TECHNOLOGY,NYSE (MU),JAPAN,64k DRAMs,6/24/1985,7/3/85,8/8/85,8/14/85,4/23/86,4/29/86,6/6/83,6/11/1986,4/21/86 | 5/3/86 | 6/11/86 | 11/20/1986,Jiji Press Ticker Service  ,"Announcement that NEC plans to ""sharply increase semiconductor production … to forestall resurgence of Japan-U.S. friction over the chip trade imbalance.""",NEC Electronics Inc.,Roseville,CA,1984,700,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731270,A,"Oki Electric Industry Co., Ltd.",MICRON TECHNOLOGY,NYSE (MU),JAPAN,64k DRAMs,6/24/1985,7/3/85,8/8/85,8/14/85,4/23/86,4/29/86,6/6/83,6/11/1986,10/28/1988 | 6/14/89,Jiji Press Ticker Service  | PR Newswire,Announcement that Oki considering producing application-specific Ics (ASICs) in U.S. | Announcement of new plant in Tualatin OR,Oki America Inc. - Oki Semiconductor Group,Sunnyvale ,CA ,1984,130,1990,JEI,NP,Oki America Inc. - Oki Semiconductor Group,Tualatin,OR,1990,100,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731288,S,Fujitsu Ltd.,"INTEL CORP, ADVANCED MICRO DEVICES, NATIONAL SEMICONDUCTOR CORP.","NASDAQ (INTC), NYSE (AMD), NYSE (NSM)",JAPAN,EPROMS,9/30/1985,10/9/85,11/15/85,11/20/85,,,7/30/86,SUSP: 8/6/86,6/28/1993,Nikkei Weekly,Announcement that Fujitsu to start production of EPROMs in Oregon plant,Fujitsu Microelectronics Inc,San Diego,CA,1981,320,1990,JEI,NP,Fujitsu Microelectronics Inc,Gresham,OR,1988,475,1990,JEI,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
