Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
43.0,731089,N,1.0,ARMCO INC.,17566,UK,Concrete Steel Wire Strand,0.0,821220,DOCF,na,na,na,na,0.0,0.0,1982-12-20,4.0
44.0,731089,N,1.0,BETHLEHEM STEEL CORP.,10786,UK,Concrete Steel Wire Strand,0.0,821220,DOCF,na,na,na,na,0.0,0.0,1982-12-20,4.0
45.0,731089,N,1.0,BETHLEHEM STEEL CORP.,10786,UK,Concrete Steel Wire Strand,0.0,830102,ITCF,na,na,na,na,0.0,0.0,1983-01-02,5.0
46.0,731089,N,1.0,ARMCO,17566,UK,Concrete Steel Wire Strand,0.0,830102,ITCF,na,na,na,na,0.0,0.0,1983-01-02,5.0
49.0,731091,A,0.0,Olin,13610,CHILE,SODIUM NITRATE ,0.0,820421,PET,na,na,na,na,0.0,0.0,1982-04-21,1.0
50.0,731091,A,0.0,Olin,13610,CHILE,SODIUM NITRATE ,0.0,820603,ITCP,na,na,na,na,0.0,0.0,1982-06-03,2.0
51.0,731091,A,0.0,Olin,13610,CHILE,SODIUM NITRATE ,0.0,821115,DOCP,na,na,na,na,0.0,0.0,1982-11-15,3.0
52.0,731091,A,0.0,Olin,13610,CHILE,SODIUM NITRATE ,0.0,830128,DOCF,na,na,na,na,0.0,0.0,1983-01-28,4.0
53.0,731091,A,0.0,Olin,13610,CHILE,SODIUM NITRATE ,0.0,830316,ITCF,na,na,na,na,0.0,0.0,1983-03-16,5.0
54.0,731092,A,0.0,Allegheny Ludlum Steel Corp.,18817,WEST GERMANY,STRIP AND SHEET,1.0,820322,PET,na,na,na,na,0.0,0.0,1982-03-22,1.0
55.0,731092,A,0.0,Armco Steel,17566,WEST GERMANY,STRIP AND SHEET,1.0,820322,PET,na,na,na,na,0.0,0.0,1982-03-22,1.0
56.0,731092,A,0.0,Carpenter Technology,20618,WEST GERMANY,STRIP AND SHEET,0.0,820505,PET,na,na,na,na,0.0,0.0,1982-05-05,1.0
57.0,731092,A,0.0,"Colt Industries, Crucible Materials Group",11332,WEST GERMANY,STRIP AND SHEET,0.0,820505,PET,na,na,na,na,0.0,0.0,1982-05-05,1.0
58.0,731092,A,0.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",20589,WEST GERMANY,STRIP AND SHEET,0.0,820505,PET,na,na,na,na,0.0,0.0,1982-05-05,1.0
59.0,731092,A,0.0,Eastern Stainless Steel ,18251,WEST GERMANY,STRIP AND SHEET,0.0,820505,PET,na,na,na,na,0.0,0.0,1982-05-05,1.0
60.0,731092,A,0.0,Jessop Steel,45305,WEST GERMANY,STRIP AND SHEET,0.0,820505,PET,na,na,na,na,0.0,0.0,1982-05-05,1.0
61.0,731092,A,0.0,Jones & Laughlin Steel,21530,WEST GERMANY,STRIP AND SHEET,0.0,820505,PET,na,na,na,na,0.0,0.0,1982-05-05,1.0
62.0,731092,A,0.0,Republic Steel,14189,WEST GERMANY,STRIP AND SHEET,0.0,820505,PET,na,na,na,na,0.0,0.0,1982-05-05,1.0
63.0,731092,A,0.0,Washington Steel,45727,WEST GERMANY,STRIP AND SHEET,0.0,820505,PET,na,na,na,na,0.0,0.0,1982-05-05,1.0
64.0,731092,A,0.0,Allegheny Ludlum Steel Corp.,18817,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
65.0,731092,A,0.0,Armco Steel,17566,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
66.0,731092,A,0.0,Carpenter Technology,20618,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
