Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
433.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,860503,TARJ,0,0,0,1,1.0,0.0,1986-05-03,
434.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,860503,TARJ,0,0,0,1,1.0,0.0,1986-05-03,
435.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,860503,TARJ,0,0,0,1,1.0,0.0,1986-05-03,
436.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,860611,TARJ,0,0,0,1,1.0,0.0,1986-06-11,
437.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,860611,TARJ,0,0,0,1,1.0,0.0,1986-06-11,
438.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,860611,TARJ,0,0,0,1,1.0,0.0,1986-06-11,
442.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,860809,TARJ,1,0,0,0,1.0,0.0,1986-08-09,
443.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,860809,TARJ,1,0,0,0,1.0,0.0,1986-08-09,
444.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,860809,TARJ,1,0,0,0,1.0,0.0,1986-08-09,
445.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,861120,TARJ,0,0,0,1,1.0,0.0,1986-11-20,
446.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,861120,TARJ,0,0,0,1,1.0,0.0,1986-11-20,
447.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,861120,TARJ,0,0,0,1,1.0,0.0,1986-11-20,
448.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,870612,TARJ,0,0,0,1,1.0,0.0,1987-06-12,
449.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,870612,TARJ,0,0,0,1,1.0,0.0,1987-06-12,
450.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,870612,TARJ,0,0,0,1,1.0,0.0,1987-06-12,
451.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,870912,TARJ,1,0,0,0,1.0,0.0,1987-09-12,
452.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,870912,TARJ,1,0,0,0,1.0,0.0,1987-09-12,
453.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,870912,TARJ,1,0,0,0,1.0,0.0,1987-09-12,
454.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,880316,TARJ,0,0,0,1,1.0,0.0,1988-03-16,
455.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,880316,TARJ,0,0,0,1,1.0,0.0,1988-03-16,
456.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,880316,TARJ,0,0,0,1,1.0,0.0,1988-03-16,
457.0,731300,S,1.0,DOC INITIATED - NSI,51377,JAPAN,256k and above DRAMs,1.0,910219,TARJ,1,0,0,0,1.0,0.0,1991-02-19,
458.0,731300,S,1.0,DOC INITIATED - INTEL,59328,JAPAN,256k and above DRAMs,1.0,910219,TARJ,1,0,0,0,1.0,0.0,1991-02-19,
459.0,731300,S,1.0,DOC INITIATED - AMD,61241,JAPAN,256k and above DRAMs,1.0,910219,TARJ,1,0,0,0,1.0,0.0,1991-02-19,
505.0,731343,A,1.0,TIMKEN CO.,14795,ITALY ,Tapered Roller Bearings,1.0,860317,TARJ,0,1,0,0,0.0,0.0,1986-03-17,
508.0,731343,A,1.0,TIMKEN CO.,14795,JAPAN,Tapered Roller Bearings,1.0,870117,TARJ,0,1,0,0,0.0,0.0,1987-01-17,
512.0,731343,A,1.0,TIMKEN CO.,14795,JAPAN,Tapered Roller Bearings,1.0,871014,TARJ,1,0,0,0,0.0,0.0,1987-10-14,
537.0,731352,N,1.0,WYMAN-GORDON,83687,JAPAN,Forged Steel Crankshafts,1.0,900510,TARJ,1,0,0,0,0.0,0.0,1990-05-10,
554.0,731354,A,1.0,ARMCO-SPECIALTY STEEL DIV.,17566,SWEDEN,Stainless Steel Pipe,1.0,920518,TARJ,0,0,1,0,0.0,0.0,1992-05-18,
555.0,731354,A,1.0,CARPENTER TECHNOLOGY CORP>,20618,SWEDEN,Stainless Steel Pipe,1.0,920518,TARJ,0,0,1,0,0.0,0.0,1992-05-18,
556.0,731354,A,1.0,ALLEGHENY LUDLUM,18817,SWEDEN,Stainless Steel Pipe,1.0,920518,TARJ,0,0,1,0,0.0,0.0,1992-05-18,
587.0,731368,A,1.0,ZENITH ELECTRONICS CORP.,18067,JAPAN,Color Picture Tubes,1.0,841212,TARJ,1,0,0,0,0.0,0.0,1984-12-12,
593.0,731368,A,1.0,ZENITH ELECTRONICS CORP.,18067,JAPAN,Color Picture Tubes,1.0,871226,TARJ,1,0,0,0,0.0,0.0,1987-12-26,
594.0,731368,A,1.0,ZENITH ELECTRONICS CORP.,18067,JAPAN,Color Picture Tubes,1.0,891211,TARJ,1,0,0,0,0.0,0.0,1989-12-11,
599.0,731377,A,1.0,UNIONS from CATERPILLAR,18542,JAPAN,Forklifts,1.0,870613,TARJ,1,0,0,0,0.0,0.0,1987-06-13,
601.0,731377,A,1.0,UNIONS from CATERPILLAR,18542,JAPAN,Forklifts,1.0,871212,TARJ,1,0,0,0,0.0,0.0,1987-12-12,
604.0,731377,A,1.0,UNIONS from CATERPILLAR,18542,JAPAN,Forklifts,1.0,881006,TARJ,0,0,1,0,0.0,0.0,1988-10-06,
605.0,731377,A,1.0,UNIONS from CATERPILLAR,18542,JAPAN,Forklifts,1.0,881014,TARJ,1,0,0,0,0.0,0.0,1988-10-14,
